id,name,symbol,quote.GBP.price,quote.GBP.volume_24h,quote.GBP.volume_change_24h,quote.GBP.percent_change_1h,quote.GBP.percent_change_24h,quote.GBP.percent_change_7d,quote.GBP.percent_change_30d,quote.GBP.percent_change_60d,quote.GBP.percent_change_90d,timestamp
52,XRP,XRP,0.404009105,494712799.4,-32.8867,0.08735883,1.2026409,-0.78950831,-13.17162392,-33.31313512,1.40029905,00:40.0
3408,USD Coin,USDC,0.807528678,1724936313,-19.0142,-0.03152466,0.01536022,-0.0045459,0.01574496,0.03150204,-0.00846856,00:40.0
2010,Cardano,ADA,0.202082958,89764525.05,-1.185,0.05724923,1.06050008,-1.57518839,-7.06373364,-17.35050643,-6.7805056,00:40.0
74,Dogecoin,DOGE,0.050234377,131410544.3,4.7255,-0.03967391,0.27290426,-2.16471221,-4.80322384,-8.33956603,-1.21619089,00:40.0
5426,Solana,SOL,15.35458994,153633766.7,2.2822,0.04717458,0.75153907,-2.68555128,-17.22789659,-25.11229823,20.62571564,00:40.0
11419,Toncoin,TON,1.809141382,68571265.71,123.2062,2.10176558,13.29884167,25.25530747,61.87321855,62.22176151,58.19330234,00:40.0
1958,TRON,TRX,0.067613564,125222408.5,-20.2038,0.05176324,-0.13384846,5.94625792,12.26016366,5.62543219,18.56362938,00:40.0
4943,Dai,DAI,0.807484792,64484544.79,1.9368,0.02644583,-0.02418957,-0.00743299,0.15567163,0.12253547,-0.02076084,00:40.0
6636,Polkadot,DOT,3.352473336,70961328.68,-7.15,-0.23038457,0.83302791,-2.44606818,-11.34861494,-19.34183703,-9.67076955,00:40.0
3890,Polygon,MATIC,0.426270167,158449192.3,3.2947,0.13689206,1.44911418,-2.47030375,-12.04445711,-28.57530189,-14.3390182,00:40.0
2,Litecoin,LTC,52.26168831,208317169.6,3.7714,0.13233672,0.21250915,2.53852546,-12.09063822,-28.50358806,-17.38502628,00:40.0
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,00:45.3
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,00:45.3
825,Tether USDt,USDT,0.807586862,13848403149,-5.7673,-0.030813,0.0319152,0.04368664,0.14956066,0.02695848,0.03569365,00:45.3
1839,BNB,BNB,173.1725539,489932465.9,68.9735,0.14561659,0.97648032,-0.29463347,-4.63107227,-10.27589052,-13.25729251,00:45.3
52,XRP,XRP,0.404009105,494712799.4,-32.8867,0.08735883,1.2026409,-0.78950831,-13.17162392,-33.31313512,1.40029905,00:45.3
3408,USD Coin,USDC,0.807528678,1724936313,-19.0142,-0.03152466,0.01536022,-0.0045459,0.01574496,0.03150204,-0.00846856,00:45.3
2010,Cardano,ADA,0.202082958,89764525.05,-1.185,0.05724923,1.06050008,-1.57518839,-7.06373364,-17.35050643,-6.7805056,00:45.3
74,Dogecoin,DOGE,0.050234377,131410544.3,4.7255,-0.03967391,0.27290426,-2.16471221,-4.80322384,-8.33956603,-1.21619089,00:45.3
5426,Solana,SOL,15.35458994,153633766.7,2.2822,0.04717458,0.75153907,-2.68555128,-17.22789659,-25.11229823,20.62571564,00:45.3
11419,Toncoin,TON,1.809141382,68571265.71,123.2062,2.10176558,13.29884167,25.25530747,61.87321855,62.22176151,58.19330234,00:45.3
1958,TRON,TRX,0.067613564,125222408.5,-20.2038,0.05176324,-0.13384846,5.94625792,12.26016366,5.62543219,18.56362938,00:45.3
4943,Dai,DAI,0.807484792,64484544.79,1.9368,0.02644583,-0.02418957,-0.00743299,0.15567163,0.12253547,-0.02076084,00:45.3
6636,Polkadot,DOT,3.352473336,70961328.68,-7.15,-0.23038457,0.83302791,-2.44606818,-11.34861494,-19.34183703,-9.67076955,00:45.3
3890,Polygon,MATIC,0.426270167,158449192.3,3.2947,0.13689206,1.44911418,-2.47030375,-12.04445711,-28.57530189,-14.3390182,00:45.3
2,Litecoin,LTC,52.26168831,208317169.6,3.7714,0.13233672,0.21250915,2.53852546,-12.09063822,-28.50358806,-17.38502628,00:45.3
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,00:50.8
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,00:50.8
825,Tether USDt,USDT,0.807586862,13848403149,-5.7673,-0.030813,0.0319152,0.04368664,0.14956066,0.02695848,0.03569365,00:50.8
1839,BNB,BNB,173.1725539,489932465.9,68.9735,0.14561659,0.97648032,-0.29463347,-4.63107227,-10.27589052,-13.25729251,00:50.8
52,XRP,XRP,0.404009105,494712799.4,-32.8867,0.08735883,1.2026409,-0.78950831,-13.17162392,-33.31313512,1.40029905,00:50.8
3408,USD Coin,USDC,0.807528678,1724936313,-19.0142,-0.03152466,0.01536022,-0.0045459,0.01574496,0.03150204,-0.00846856,00:50.8
2010,Cardano,ADA,0.202082958,89764525.05,-1.185,0.05724923,1.06050008,-1.57518839,-7.06373364,-17.35050643,-6.7805056,00:50.8
74,Dogecoin,DOGE,0.050234377,131410544.3,4.7255,-0.03967391,0.27290426,-2.16471221,-4.80322384,-8.33956603,-1.21619089,00:50.8
5426,Solana,SOL,15.35458994,153633766.7,2.2822,0.04717458,0.75153907,-2.68555128,-17.22789659,-25.11229823,20.62571564,00:50.8
11419,Toncoin,TON,1.809141382,68571265.71,123.2062,2.10176558,13.29884167,25.25530747,61.87321855,62.22176151,58.19330234,00:50.8
1958,TRON,TRX,0.067613564,125222408.5,-20.2038,0.05176324,-0.13384846,5.94625792,12.26016366,5.62543219,18.56362938,00:50.8
4943,Dai,DAI,0.807484792,64484544.79,1.9368,0.02644583,-0.02418957,-0.00743299,0.15567163,0.12253547,-0.02076084,00:50.8
6636,Polkadot,DOT,3.352473336,70961328.68,-7.15,-0.23038457,0.83302791,-2.44606818,-11.34861494,-19.34183703,-9.67076955,00:50.8
3890,Polygon,MATIC,0.426270167,158449192.3,3.2947,0.13689206,1.44911418,-2.47030375,-12.04445711,-28.57530189,-14.3390182,00:50.8
2,Litecoin,LTC,52.26168831,208317169.6,3.7714,0.13233672,0.21250915,2.53852546,-12.09063822,-28.50358806,-17.38502628,00:50.8
1,Bitcoin,BTC,21424.4611,7330525746,-18.2105,0.00695477,0.58353266,2.47753896,-4.85769865,-10.71764139,-0.28019377,01:01.7
1027,Ethereum,ETH,1321.653135,3018793414,-4.9462,0.06113563,0.88087128,0.1041379,-5.86009891,-13.18124773,-6.07812575,01:01.7
